,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2006-09-26,67977,10566,20167,44450,32361,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.463500022888184,-0.17783956338173207,12089,1.362809529397958,-9601,2.113895082736768,0.04024163205790837,0.04688771027885335,0.026070229617118468,-0.05110438706703657,-0.008286027227549307
2006-10-03,69400,10554,22847,45107,33169,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.2864999771118164,-0.1720172910662824,11938,-0.2221339570737161,-12293,-3.960162996307574,0.018715826051407838,0.08059638932966079,-0.05110438706703657,0.026319771802985725,-0.013516300026656351
2006-10-10,69015,10562,23849,43796,28785,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.372999906539917,-0.21750344128088098,15011,4.427953890489913,-13287,-1.4322766570605188,0.07846406084236922,0.02935107959664061,0.026319771802985725,0.03320485966772524,-0.019688559024545343
2006-10-17,72713,13068,21992,42204,32753,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.484999895095825,-0.12997675793874547,9451,-8.056219662392234,-8924,6.32181409838441,0.07417586082687408,0.1244438106103822,0.03320485966772524,-0.0239598022842894,-0.024183733547009558
2006-10-24,75321,12435,22183,43102,32837,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.40149998664856,-0.13628337382668845,10265,1.1194696959278259,-9748,-1.1332223948949982,0.012931431807108337,0.023802646022300537,-0.0239598022842894,-0.01925621673906619,-0.028382204279564203
2006-10-31,74423,11748,22691,42763,31449,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.3359999656677246,-0.1520228961476963,11314,1.392705885476826,-10943,-1.586542929594668,0.02327116908316714,0.0346990330729696,-0.01925621673906619,0.0028477298563098774,-0.03171730559788878
2006-11-07,72371,11443,25083,43446,29319,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.345499992370605,-0.1952024982382446,14127,3.7797455087808878,-13640,-3.623879714604356,0.03865869580155294,0.0738378141597766,0.0028477298563098774,-0.0781646636797888,-0.03602637107877096
2006-11-14,73681,10013,27023,45520,26348,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.0840001106262207,-0.26020276597766046,19172,6.971024305315665,-17010,-4.656561329814428,0.0701981410363444,0.09099254779133815,-0.0781646636797888,0.008592732068086306,-0.0420113424161909
2006-11-21,73218,9130,27232,47397,26453,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.1105000972747803,-0.2860498784451911,20944,2.404961930484114,-18102,-1.482064575670797,0.026838185511171293,0.030031351410813485,0.008592732068086306,0.00803724679859541,-0.048915003076246716
2006-11-28,70308,9859,27495,45218,22879,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.135499954223633,-0.3177305569778688,22339,1.9052691960993198,-17636,0.6364555164030703,0.08448242947560099,0.026556727525833913,0.00803724679859541,0.03157390481810074,-0.05598378285227337
2006-12-05,68793,9550,26632,44655,23437,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.234499931335449,-0.3084325440088381,21218,-1.5944131535529384,-17082,0.7879615406497127,0.01646302061916231,0.0323917970261456,0.03157390481810074,-0.04637497608074492,-0.06270590657827295
2006-12-12,67911,9439,26965,44210,23227,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.0845000743865967,-0.3089779269926816,20983,-0.34160452371607575,-17526,-0.6454145043827133,0.009712768954728116,0.012196461927260741,-0.04637497608074492,-0.026584540505302012,-0.06974039340151851
2006-12-19,68920,8423,27394,46285,23433,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.002500057220459,-0.33157283807312826,22852,2.7521314661836818,-18971,-2.127784894936019,0.032717519148569955,0.04034397074015132,-0.026584540505302012,-0.0506244621189611,-0.07717925237789335
2006-12-26,67350,6507,26714,46853,22568,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.8505001068115234,-0.3605790645879733,24285,2.079222286709228,-20207,-1.7933836331979105,0.020642168796185592,0.07814334306613287,-0.0506244621189611,-0.1082266409186321,-0.08471359004775794
2007-01-09,69879,6335,25590,49018,26028,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.5420000553131104,-0.32899726670387386,22990,-1.9227913882702303,-19255,1.4135115070527096,0.07495402819603976,0.04059514487079092,-0.1082266409186321,0.00904799425919589,-0.09178679769083886
2007-01-16,68933,5358,25985,48370,24442,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.565000057220459,-0.34711966692295415,23928,1.3423202965125431,-20627,-1.9633938665407347,0.030681755754545955,0.04377372938136107,0.00904799425919589,0.0005847529230675885,-0.09923797887742157
2007-01-23,70723,5190,26561,48626,24991,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.566499948501587,-0.3341911400817273,23635,-0.4250504112689133,-21371,-1.0793088941435887,0.01093497425866308,0.023432332839910554,0.0005847529230675885,-0.006428987538042219,-0.10642919528510865
2007-01-30,71448,5545,27129,48462,24932,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.549999952316284,-0.32933042212518193,23530,-0.14846655260664846,-21584,-0.301175006716344,0.003038395509169687,0.0282487604823407,-0.006428987538042219,-0.025686283217902894,-0.1138263503658362
2007-02-06,72035,5449,27347,49215,26048,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.484499931335449,-0.3216075518845006,23167,-0.5080618071884447,-21898,-0.43948046131452245,0.024832919229900483,0.009574338333943163,-0.025686283217902894,0.03723082066661654,-0.12110481645465095
2007-02-13,70803,5710,26386,48111,26416,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.57699990272522,-0.30641357004646697,21695,-2.0434511001596447,-20676,1.6963975845075312,0.019751231097454615,0.03807328015952144,0.03723082066661654,0.0019402850716563336,-0.12816515873407194
2007-02-20,71320,5156,25867,49013,26974,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.5820000171661377,-0.3090157038698822,22039,0.48585511913337004,-20711,-0.04943293363275568,0.019213812889046812,0.03458724172388228,0.0019402850716563336,0.08636717587469933,-0.1354466550821514
2007-02-27,65863,5301,24153,45559,24756,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.805000066757202,-0.3158526031307411,20803,-1.7330342120022435,-18852,2.606561974200785,0.08066557633506365,0.06311536633394446,0.08636717587469933,-0.03707668059807434,-0.14229149264087496
2007-03-06,65495,5207,24486,44591,24607,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.700999975204468,-0.30512252843728527,19984,-1.24349027526836,-19279,-0.6483154426612817,0.016142085031359287,0.014380493719058364,-0.03707668059807434,0.045723846668870305,-0.14832299248503625
2007-03-13,65156,4642,22907,45244,25291,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.82450008392334,-0.3062342685247713,19953,-0.04733185739369417,-18265,1.5482097870066416,0.01895512865953073,0.07782496642346365,0.045723846668870305,0.07311021733104228,-0.15374393811370649
2007-03-20,71303,7761,22839,46270,30206,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.0309998989105225,-0.22529206344754077,16064,-5.968751918472589,-15078,4.891337712566763,0.07768450232752759,0.10415032679738562,0.07311021733104228,0.007093405260075736,-0.1577945675807608
2007-03-27,74716,8680,24470,46101,31535,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.052500009536743,-0.19495154986883667,14566,-2.100893370545419,-15790,-0.9985554604995582,0.0192951723427276,0.07692307692307693,0.007093405260075736,0.08419327393267562,-0.16197251866659165
2007-04-03,77186,9927,22818,45184,32818,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.309499979019165,-0.16021040084989505,12366,-2.9444831093741635,-12891,3.8800256973071363,0.02820440501525602,0.08853260039700718,0.08419327393267562,0.0626982874277009,-0.1661659626751762
2007-04-10,80185,12333,22357,45191,35468,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.5169999599456787,-0.12125709297250109,9723,-3.4241960977379318,-10024,3.7144041665587024,0.03294114729912347,0.08264629576246757,0.0626982874277009,0.04464033740059459,-0.16936994718528278
2007-04-17,80657,13787,22572,46119,36597,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.674000024795532,-0.1180554694570837,9522,-0.2506703248737295,-8785,1.545176778699258,0.024868223801924657,0.045903352677466376,0.04464033740059459,-0.033750699957098784,-0.17209948577987522
2007-04-24,80138,13923,22406,46176,37255,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.549999952316284,-0.11132047218548005,8921,-0.7451306148257435,-8483,0.37442503440494934,0.008569956011554459,0.008312918054446861,-0.033750699957098784,0.018450710383276947,-0.1748417607470807
2007-05-01,81864,15079,23409,45582,38315,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.615499973297119,-0.08876917814912538,7267,-2.063939704010582,-8330,0.19092066185829445,0.019714650106678427,0.05609540636042403,0.018450710383276947,0.027658731514234702,-0.17719698039380802
2007-05-08,81613,15900,23965,45814,39413,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.7155001163482666,-0.07843113229510004,6401,-1.0578520472979576,-8065,0.32370761262581843,0.015605383270559799,0.034541577825159916,0.027658731514234702,-0.04898402759200082,-0.1789488100398827
2007-05-15,81845,15317,24368,46358,38351,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.533499956130981,-0.09783126641822958,8007,1.9678237535686716,-9051,-1.2081408599120238,0.018959024424795478,0.024845659569106716,-0.04898402759200082,-0.0636762154877546,-0.18122087032492146
2007-05-22,80380,12655,23772,47161,35982,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.308500051498413,-0.13907688479721322,11179,3.8756185472539553,-11117,-2.5242837070071475,0.03815113719735877,0.08943915227715706,-0.0636762154877546,0.005289382932948561,-0.1845582258751239
2007-05-29,79901,12093,23624,47238,36593,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.325999975204468,-0.13322736886897535,10645,-0.6643443642697189,-11531,-0.5150534958945011,0.008206987868449618,0.019878489234818154,0.005289382932948561,0.03622973200131452,-0.18725927027588724
2007-06-05,81226,12740,22323,45945,37358,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.446500062942505,-0.10571738113411962,8587,-2.5756874131738026,-9583,2.438017046094542,0.024704992617312703,0.055557140005133614,0.03622973200131452,-0.04613380397683431,-0.18815778001269243
2007-06-12,76962,13222,22204,45830,36826,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.2874999046325684,-0.11699280164236896,9004,0.5133824144978208,-8982,0.7399108659788737,0.007827622919086334,0.016964941003782534,-0.04613380397683431,0.034068438571841275,-0.18897659441112932
2007-06-19,78337,13894,22256,45287,37271,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.399499893188477,-0.10232712511329257,8016,-1.2837504222863232,-8362,0.8055923702606481,0.01196734417015916,0.020027662517289074,0.034068438571841275,-0.023974060169992373,-0.18909687491340585
2007-06-26,79416,13474,22397,46577,36741,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.318000078201294,-0.12385413518686411,9836,2.3232955053167723,-8923,-0.7161366914740162,0.021844019299551116,0.015639374425023,-0.023974060169992373,0.07383962621601192,-0.18982693869623013
2007-07-03,81852,15360,23710,46637,38895,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.562999963760376,-0.09458534916678883,7742,-2.636748262314899,-8350,0.7215170746449079,0.02588504887059814,0.08187867929357563,0.07383962621601192,0.01838339086360996,-0.19047859960716512
2007-07-10,87538,20648,24557,46557,43380,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.628499984741211,-0.036292809979665976,3177,-5.577139226897327,-3909,5.425646288423008,0.050757752649076573,0.1357150757659551,0.01838339086360996,-0.011988410300996843,-0.18991788188351538
2007-07-17,89893,20639,24406,47405,43808,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.5850000381469727,-0.04001423915099062,3597,0.4797916333478033,-3767,0.1622152665128287,0.01398923399076886,0.003552003552003552,-0.011988410300996843,0.017712671365430088,-0.19009441589802994
2007-07-24,94496,21993,24958,48330,45565,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.6484999656677246,-0.02926049779884863,2765,-0.9255448143904419,-2965,0.8921718042561712,0.02856382128973854,0.0405955144725352,0.017712671365430088,0.0013704575820114862,-0.1895161001996994
2007-07-31,89395,19544,24959,47701,41486,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.6535000801086426,-0.06952290396554617,6215,3.650948188283102,-5415,-2.5927023366068407,0.052787962371197594,0.05505246837291868,0.0013704575820114862,-0.03777200175673412,-0.1890327264094395
2007-08-07,84651,18463,24017,47685,40315,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.515500068664551,-0.0870633542427142,7370,1.292018569271212,-5554,-0.15548968063090776,0.013488636363636364,0.04762241054613936,-0.03777200175673412,-0.02944108256885214,-0.1888921996600922
2007-08-14,76111,13970,19908,47371,38218,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.4119999408721924,-0.12025856972053973,9153,2.1062952593590154,-5938,-0.45362724598646204,0.028169507763848158,0.253911092744554,-0.02944108256885214,-0.07312427918033482,-0.18934594766600646
2007-08-21,76498,12313,19380,49923,38335,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.1624999046325684,-0.15148108447279668,11588,3.1992747434667788,-7067,-1.4833598297223793,0.030240884679009268,0.0689426687281103,-0.07312427918033482,0.05517786365789079,-0.1900073389941497
2007-08-28,73083,11271,17808,48954,37438,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.336999893188477,-0.15757426487692075,11516,-0.0941201077152344,-6537,0.6928285706815864,0.021599222150199094,0.08989304996733037,0.05517786365789079,-0.004345191246429958,-0.19018330246864165
2007-09-04,69156,11478,16634,46588,36737,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.322499990463257,-0.14244606397131124,9851,-2.278231599688026,-5156,1.8896323358373355,0.036807680768076806,0.04912492885600455,-0.004345191246429958,0.020015033466505905,-0.1896364581837173
2007-09-11,68684,12518,16637,45325,36139,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.388999938964844,-0.1337429386756741,9186,-0.9615940771588871,-4119,1.4995083579154376,0.022844446626730824,0.03577430972388956,0.020015033466505905,0.015786419722514156,-0.18940298438548397
2007-09-18,71557,14435,16863,45130,38667,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.442500114440918,-0.09031960534958146,6463,-3.9645332246229104,-2428,2.461999883524547,0.03249519672541976,0.06847082880695252,0.015786419722514156,0.04909220181160712,-0.1883051019544869
2007-09-25,77528,17474,17396,45909,43426,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.611500024795532,-0.03202713858218966,2483,-5.561999524854312,78,3.502103218413293,0.06199138075782168,0.10243762546601663,0.04909220181160712,0.024643496064657766,-0.18577267809636905
2007-10-02,83055,20787,19307,45540,46375,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.700500011444092,0.010053578953705376,-835,-4.2797440924569194,1480,1.8083789082654007,0.03609856933035957,0.13029380954756323,0.024643496064657766,-0.02688824228198372,-0.18215934843607215
2007-10-09,86905,23322,19283,44052,47796,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.6010000705718994,0.043081525804038893,-3744,-3.5024983444705318,4039,3.081090843417013,0.03167189269227419,0.06006337284356296,-0.02688824228198372,0.006387115094862006,-0.1780228327270275
2007-10-16,90148,22890,20921,44427,45622,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.624000072479248,0.013255979056662377,-1195,2.933087854553823,1969,-2.3819112824348427,0.02830681073637686,0.04724840793408048,0.006387115094862006,-0.03283663235605838,-0.17358515156669013
2007-10-23,86858,19606,20130,44365,42585,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.505000114440918,-0.02049321881691957,1780,3.3001286772862404,-524,-2.765452367218352,0.0356411730879816,0.10255184215824441,-0.03283663235605838,-0.008701903729777971,-0.17147969889127046
2007-10-30,86013,17403,20060,44851,40544,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.4744999408721924,-0.05007382604955065,4307,2.909346289345829,-2657,-2.455732344746598,0.02959189648105861,0.06067319755492086,-0.008701903729777971,-0.040869178978898746,-0.1698218229724793
2007-11-06,83317,15556,18680,45069,39504,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.3324999809265137,-0.0667930914459234,5565,1.462569611570344,-3124,-0.5429411833094997,0.014874723611554515,0.09425750671807454,-0.040869178978898746,-0.06916728706770392,-0.16818278826667596
2007-11-13,78465,12163,18565,47162,38645,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.101999998092652,-0.10854521124068056,8517,3.543094446511516,-6402,-3.9343711367428016,0.03440278765135712,0.114162978391044,-0.06916728706770392,-0.02466148904315979,-0.1665163019782613
2007-11-20,77837,11396,17997,48615,38956,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.025500059127808,-0.12409265516399656,9659,1.455425986108456,-6601,-0.25361626202765564,0.02014365486291124,0.0454189773075222,-0.02466148904315979,-0.022145149354205307,-0.1638987998472293
2007-11-27,73905,9580,17500,47176,33387,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.9584999084472656,-0.18657736283066098,13789,5.305959890540488,-7920,-1.6945668512404126,0.08698782319427033,0.0854135893648449,-0.022145149354205307,0.013351360255198452,-0.1619858668546422
2007-12-04,70839,8457,16812,46912,34899,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.997999906539917,-0.1695817275794407,12013,-2.403085041607469,-8355,-0.5885934645829105,0.021708572196892838,0.07166884324666588,0.013351360255198452,0.01984655799667312,-0.1591368509046724
2007-12-11,70873,8673,16665,44082,33722,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.057499885559082,-0.14617696442933134,10360,-2.33346038199297,-7992,0.5124295938677847,0.051501208164104674,0.014326308311626805,0.01984655799667312,-0.061324613906147185,-0.15601655129737418
2007-12-18,73019,8702,17746,45412,34149,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,2.869999885559082,-0.15424752461688054,11263,1.2741100277961988,-9044,-1.4843452372553723,0.022083684217141564,0.04196914700544464,-0.061324613906147185,0.140592368013297,-0.15304096663630112
2008-01-08,75606,9382,15579,45968,36690,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.2734999656677246,-0.12271512842896067,9278,-2.7184705350662157,-6197,3.898985195634013,0.03746763773621428,0.11405793037137935,0.140592368013297,-0.01634334431605311,-0.14902447222006712
2008-01-15,83849,10724,19539,50487,39630,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.220000028610229,-0.12948276067693115,10857,2.088458587942756,-8815,-3.4626881464434036,0.08277017654826503,0.17519743581270858,-0.01634334431605311,-0.009627371755794978,-0.14458031252947018
2008-01-22,86382,11307,20355,50879,38160,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.188999891281128,-0.14724132342386145,12719,2.220658564801011,-9048,-0.2778804756168827,0.020912184548343985,0.04418545890973406,-0.009627371755794978,0.03135783833814254,-0.14108500592793144
2008-01-29,89706,10688,20024,51496,38578,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.2890000343322754,-0.14400374556885828,12918,0.23037206825496054,-9336,-0.3334027922483851,0.011490552212625176,0.030932534514196405,0.03135783833814254,-0.02599574369560831,-0.13717893051727575
2008-02-05,90375,11552,18781,51617,40742,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.2035000324249268,-0.12033195020746888,10875,-2.2774396361447393,-7229,2.3487838048736984,0.024740415119262876,0.06946230178353609,-0.02599574369560831,0.10972374926626838,-0.13306625378892464
2008-02-12,88310,18417,17863,50101,46853,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.555000066757202,-0.03677952666742158,3248,-8.439280774550484,554,8.611894882434301,0.07866617158652557,0.21452590959206175,0.10972374926626838,0.047819925367944105,-0.12744027503012156
2008-02-19,93661,21336,17784,53143,53157,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.724999904632568,0.0001494752351565753,-14,-3.6938059109953567,3552,3.3948590193636052,0.08792097836312324,0.0766359918200409,0.047819925367944105,0.015033555895749284,-0.12125263989320509
2008-02-26,101872,24783,19202,52749,57730,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.7809998989105225,0.0488946913774148,-4981,-5.303167807305068,5581,2.1663232295192234,0.044958770445061955,0.11060588837103558,0.015033555895749284,0.012166094960212037,-0.1144197887119766
2008-03-04,101867,27387,18291,49840,58982,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.82699990272522,0.08974447073144394,-9142,-4.084537458771792,9096,3.4504083555834772,0.03823675359761813,0.07695170541617409,0.012166094960212037,-0.00731640413937551,-0.10675132381579723
2008-03-11,103107,29142,19142,49542,58831,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.799000024795532,0.09009087646813504,-9289,-0.14430581051763572,10000,0.8874316510744402,0.00414309837321104,0.05397233037859332,-0.00731640413937551,-0.007501995241544157,-0.09894471843889578
2008-03-18,101953,27231,19888,49184,56049,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.7704999446868896,0.06733494845664179,-6865,2.3509558031947395,7343,-2.576934640713046,0.029838548744215217,0.056389142384176236,-0.007501995241544157,-0.018830357195362746,-0.0917820746524741
2008-03-25,97323,23073,15518,49023,53999,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.69950008392334,0.05112871571981957,-4976,1.8528145321863996,7555,0.20793895226231696,0.021461435421560444,0.22098416729289214,-0.018830357195362746,0.0341937798111831,-0.08490970957084734
2008-04-01,101860,25610,16029,48653,55905,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.825999975204468,0.07119575888474376,-7252,-2.3386044408824227,9581,2.0817278546695026,0.02176782264389143,0.07320060520185404,0.0341937798111831,0.021693660539674475,-0.07920802067984188
2008-04-08,102525,28023,19182,48968,55942,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.908999919891357,0.068022433552792,-6974,0.2729236206558021,8841,-0.7264873355586099,0.0033552568868554,0.11791123821629065,0.021693660539674475,-0.004604729556231368,-0.0741508286909644
2008-04-15,105070,30643,21360,49550,57463,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.891000032424927,0.07531169696392881,-7913,-0.9158741770299926,9283,0.43111436235064615,0.019651818003420144,0.09226390785147011,-0.004604729556231368,0.029426832794557933,-0.0696215575791601
2008-04-22,107654,30703,21690,50942,58831,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,4.005499839782715,0.07328106712244785,-7889,0.022841914913866945,9013,-0.25697154278100315,0.02514279467628652,0.007443742484683069,0.029426832794557933,-0.02646360025818595,-0.06588043911579569
2008-04-29,104206,29123,22559,50041,54543,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.899499893188477,0.04320288659002361,-4502,3.146190573504003,6564,-2.2748806361119884,0.04961561998011168,0.047385937076738514,-0.02646360025818595,0.0033337637646302376,-0.06277931688412056
2008-05-06,99434,27833,20639,48990,54398,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.912499904632568,0.054387835146931636,-5408,-0.8694317025891024,7194,0.604571713720899,0.01156807366425504,0.06622379930681631,0.0033337637646302376,-0.037699630242481796,-0.05959261866618956
2008-05-13,97799,24173,19985,48974,51927,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.765000104904175,0.030194582766694955,-2953,2.468974395076131,4188,-3.023110807168574,0.024647922220790677,0.09769464196748041,-0.037699630242481796,0.006772860557430871,-0.05730485403319303
2008-05-20,101017,24632,19592,49121,53403,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.7904999256134033,0.04238890483779958,-4282,-1.3589096003026615,5040,0.8711745518870335,0.01583043970192345,0.019265557163531115,0.006772860557430871,-0.013058960434591649,-0.054981391780637254
2008-05-27,98441,22205,18544,49788,51504,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.740999937057495,0.017431761156428725,-1716,2.5401665066275974,3661,-1.3651167625251195,0.025332701496663113,0.08527816633537019,-0.013058960434591649,-0.04143276503545912,-0.052764795096509214
2008-06-03,97981,20776,21663,49487,46744,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.5859999656677246,-0.027995223563752156,2743,4.529616724738676,-887,-4.620026208591948,0.052592200018704995,0.10716557883079243,-0.04143276503545912,-0.008087017330358104,-0.050628609303558045
2008-06-10,96229,20614,20430,50084,47406,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.556999921798706,-0.027829448503050015,2678,-0.06633939233116624,184,1.0930690644104468,0.012914145040516975,0.033987915407854986,-0.008087017330358104,0.02853529282085243,-0.048601726219597935
2008-06-17,102488,23149,19960,52431,52838,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.658499956130981,0.0039711966278979,-407,-3.2058942730361952,3189,3.12275925136913,0.07389639874986938,0.06970702173560045,0.02853529282085243,0.0369003668394261,-0.04649233049340529
2008-06-24,109496,25237,18619,54249,59841,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.7934999465942383,0.05107035873456565,-5592,-5.059128873624229,6618,3.3457575521036604,0.077316153913577,0.07818770521707406,0.0369003668394261,0.034005522688197676,-0.0432603466400027
2008-07-01,111367,26085,18647,52762,60405,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.922499895095825,0.06862894753382959,-7643,-1.873127785489881,7438,0.7488858040476365,0.01812365795682487,0.01958329607439864,0.034005522688197676,-0.05353723526951504,-0.03997272985832727
2008-07-08,110218,25343,18805,54077,60938,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.712500095367432,0.06224936035856212,-6861,0.7021828728438406,6538,-0.808138856214139,0.016067469460505152,0.02038597444957869,-0.05353723526951504,0.0025588654653920795,-0.03639381648245369
2008-07-15,105627,21001,17982,54452,56566,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.721999883651733,0.020013822223484527,-2114,4.306919015042915,3019,-3.1927634324701955,0.04275883190113315,0.1324936510786753,0.0025588654653920795,0.0036271397219393986,-0.03418998626340997
2008-07-22,110899,20424,19431,57290,55935,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.73550009727478,-0.012218324782008854,1355,3.2841981690287523,993,-1.9180701903869275,0.030638109958048134,0.05083427424413499,0.0036271397219393986,-0.013920504463191707,-0.03372701539422426
2008-07-29,108234,18062,20304,57551,51529,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,3.683500051498413,-0.05563870872369126,6022,4.208333709050578,-2242,-2.917068684117981,0.04278511184451778,0.08431944951258927,-0.013920504463191707,-0.06149043875814186,-0.034027485962930044
